Process is Muon Signal   - Flux is electron neutrinos per proton per square cm 
1.000000e-02   0.000000e+00   0.000000e+00
3.000000e-02   0.000000e+00   0.000000e+00
5.000000e-02   0.000000e+00   0.000000e+00
7.000000e-02   0.000000e+00   0.000000e+00
9.000000e-02   0.000000e+00   0.000000e+00
1.100000e-01   0.000000e+00   0.000000e+00
1.300000e-01   0.000000e+00   0.000000e+00
1.500000e-01   1.875800e-19   1.875800e-19
1.700000e-01   0.000000e+00   0.000000e+00
1.900000e-01   1.875800e-19   1.875800e-19
2.100000e-01   0.000000e+00   0.000000e+00
2.300000e-01   0.000000e+00   0.000000e+00
2.500000e-01   0.000000e+00   0.000000e+00
2.700000e-01   3.751600e-19   2.652782e-19
2.900000e-01   1.875800e-19   1.875800e-19
3.100000e-01   1.875800e-19   1.875800e-19
3.300000e-01   1.875800e-19   1.875800e-19
3.500000e-01   0.000000e+00   0.000000e+00
3.700000e-01   0.000000e+00   0.000000e+00
3.900000e-01   3.751600e-19   2.652782e-19
4.100000e-01   1.875800e-19   1.875800e-19
4.300000e-01   0.000000e+00   0.000000e+00
4.500000e-01   0.000000e+00   0.000000e+00
4.700000e-01   3.751600e-19   2.652782e-19
4.900000e-01   7.503200e-19   3.751600e-19
5.100000e-01   0.000000e+00   0.000000e+00
5.300000e-01   3.751600e-19   2.652782e-19
5.500000e-01   1.875800e-19   1.875800e-19
5.700000e-01   9.379000e-19   4.194416e-19
5.900000e-01   1.125480e-18   4.594753e-19
6.100000e-01   0.000000e+00   0.000000e+00
6.300000e-01   1.875800e-19   1.875800e-19
6.500000e-01   3.751600e-19   2.652782e-19
6.700000e-01   1.875800e-19   1.875800e-19
6.900000e-01   3.751600e-19   2.652782e-19
7.100000e-01   1.875800e-19   1.875800e-19
7.300000e-01   1.875800e-19   1.875800e-19
7.500000e-01   5.627400e-19   3.248981e-19
7.700000e-01   3.751600e-19   2.652782e-19
7.900000e-01   5.627400e-19   3.248981e-19
8.100000e-01   1.125480e-18   4.594753e-19
8.300000e-01   5.627400e-19   3.248981e-19
8.500000e-01   1.125480e-18   4.594753e-19
8.700000e-01   1.125480e-18   4.594753e-19
8.900000e-01   7.503200e-19   3.751600e-19
9.100000e-01   9.379000e-19   4.194416e-19
9.300000e-01   5.627400e-19   3.248981e-19
9.500000e-01   1.688220e-18   5.627400e-19
9.700000e-01   7.503200e-19   3.751600e-19
9.900000e-01   0.000000e+00   0.000000e+00
1.010000e+00   1.125480e-18   4.594753e-19
1.030000e+00   7.503200e-19   3.751600e-19
1.050000e+00   1.125480e-18   4.594753e-19
1.070000e+00   9.379000e-19   4.194416e-19
1.090000e+00   7.503200e-19   3.751600e-19
1.110000e+00   1.875800e-19   1.875800e-19
1.130000e+00   1.875800e-18   5.931801e-19
1.150000e+00   1.875800e-19   1.875800e-19
1.170000e+00   9.379000e-19   4.194416e-19
1.190000e+00   1.875800e-18   5.931801e-19
1.210000e+00   1.688220e-18   5.627400e-19
1.230000e+00   1.125480e-18   4.594753e-19
1.250000e+00   1.313060e-18   4.962901e-19
1.270000e+00   1.313060e-18   4.962901e-19
1.290000e+00   1.875800e-18   5.931801e-19
1.310000e+00   1.313060e-18   4.962901e-19
1.330000e+00   1.500640e-18   5.305564e-19
1.350000e+00   1.313060e-18   4.962901e-19
1.370000e+00   1.875800e-18   5.931801e-19
1.390000e+00   1.875800e-18   5.931801e-19
1.410000e+00   1.500640e-18   5.305564e-19
1.430000e+00   2.063380e-18   6.221325e-19
1.450000e+00   1.688220e-18   5.627400e-19
1.470000e+00   1.313060e-18   4.962901e-19
1.490000e+00   2.063380e-18   6.221325e-19
1.510000e+00   1.688220e-18   5.627400e-19
1.530000e+00   2.813700e-18   7.264942e-19
1.550000e+00   1.313060e-18   4.962901e-19
1.570000e+00   2.438540e-18   6.763293e-19
1.590000e+00   1.500640e-18   5.305564e-19
1.610000e+00   1.875800e-18   5.931801e-19
1.630000e+00   1.688220e-18   5.627400e-19
1.650000e+00   1.875800e-18   5.931801e-19
1.670000e+00   1.875800e-18   5.931801e-19
1.690000e+00   1.500640e-18   5.305564e-19
1.710000e+00   2.063380e-18   6.221325e-19
1.730000e+00   2.250960e-18   6.497962e-19
1.750000e+00   2.063380e-18   6.221325e-19
1.770000e+00   2.813700e-18   7.264942e-19
1.790000e+00   2.438540e-18   6.763293e-19
1.810000e+00   2.626120e-18   7.018601e-19
1.830000e+00   1.688220e-18   5.627400e-19
1.850000e+00   1.500640e-18   5.305564e-19
1.870000e+00   3.376440e-18   7.958346e-19
1.890000e+00   3.001280e-18   7.503200e-19
1.910000e+00   3.376440e-18   7.958346e-19
1.930000e+00   3.001280e-18   7.503200e-19
1.950000e+00   3.751600e-18   8.388833e-19
1.970000e+00   1.688220e-18   5.627400e-19
1.990000e+00   3.376440e-18   7.958346e-19
